qid	clase	tool	args	chars	ms	truncado
Q01	FieldFunctionManager	search_api	{"query":"FieldFunctionManager"}	3799	160	false
Q01	FieldFunctionManager	search_api(resolve)	{"query":"FieldFunctionManager","kind":"type","limit":500}	1130	4	false
Q01	FieldFunctionManager	get_doc	{"docPath":"star/common/FieldFunctionManager.html"}	16176	4	false
Q02	PartManager	search_api	{"query":"PartManager"}	3195	13	false
Q02	PartManager	search_api(resolve)	{"query":"PartManager","kind":"type","limit":500}	1365	4	false
Q02	PartManager	get_doc	{"docPath":"star/common/PartManager.html"}	50016	6	true
Q03	AnalysisReport	search_api	{"query":"AnalysisReport"}	1563	15	false
Q03	AnalysisReport	search_api(resolve)	{"query":"AnalysisReport","kind":"type","limit":500}	568	4	false
Q03	AnalysisReport	get_doc	{"docPath":"star/base/report/AnalysisReport.html"}	10817	5	false
Q04	AreaAverageReport	search_api	{"query":"AreaAverageReport"}	1032	42	false
Q04	AreaAverageReport	search_api(resolve)	{"query":"AreaAverageReport","kind":"type","limit":500}	228	3	false
Q04	AreaAverageReport	get_doc	{"docPath":"star/base/report/AreaAverageReport.html"}	7980	4	false
Q05	Boundary	search_api	{"query":"Boundary"}	2850	12	false
Q05	Boundary	search_api(resolve)	{"query":"Boundary","kind":"type","limit":500}	28375	3	false
Q05	Boundary	get_doc	{"docPath":"star/common/Boundary.html"}	13832	4	false
Q05	WallBoundary	search_api	{"query":"WallBoundary"}	741	11	false
Q05	WallBoundary	search_api(resolve)	{"query":"WallBoundary","kind":"type","limit":500}	280	3	false
Q05	WallBoundary	get_doc	{"docPath":"star/common/WallBoundary.html"}	4061	3	false
Q06	VectorReport	search_api	{"query":"VectorReport"}	913	12	false
Q06	VectorReport	search_api(resolve)	{"query":"VectorReport","kind":"type","limit":500}	322	2	false
Q06	VectorReport	get_doc	{"docPath":"star/base/report/VectorReport.html"}	10398	4	false
Q07	TableManager	search_api	{"query":"TableManager"}	3241	12	false
Q07	TableManager	search_api(resolve)	{"query":"TableManager","kind":"type","limit":500}	852	3	false
Q07	TableManager	get_doc	{"docPath":"star/common/TableManager.html"}	10787	4	false
Q08	Simulation	search_api	{"query":"Simulation"}	3336	14	false
Q08	Simulation	search_api(resolve)	{"query":"Simulation","kind":"type","limit":500}	33814	3	false
Q08	Simulation	get_doc	{"docPath":"star/common/Simulation.html"}	29981	4	false
Q09	Report	search_api	{"query":"Report"}	2434	13	false
Q09	Report	search_api(resolve)	{"query":"Report","kind":"type","limit":500}	56545	3	false
Q09	Report	get_doc	{"docPath":"star/base/report/Report.html"}	18573	4	false
Q10	GlobalParameterManager	search_api	{"query":"GlobalParameterManager"}	1990	10	false
Q10	GlobalParameterManager	search_api(resolve)	{"query":"GlobalParameterManager","kind":"type","limit":500}	233	2	false
Q10	GlobalParameterManager	get_doc	{"docPath":"star/common/GlobalParameterManager.html"}	10117	4	false
Q10	ClientServerObjectManager	search_api	{"query":"ClientServerObjectManager"}	5289	10	false
Q10	ClientServerObjectManager	search_api(resolve)	{"query":"ClientServerObjectManager","kind":"type","limit":500}	607	3	false
Q10	ClientServerObjectManager	get_doc	{"docPath":"star/base/neo/ClientServerObjectManager.html"}	15360	4	false
Q11	Continuum	search_api	{"query":"Continuum"}	2606	14	false
Q11	Continuum	search_api(resolve)	{"query":"Continuum","kind":"type","limit":500}	4126	3	false
Q11	Continuum	get_doc	{"docPath":"star/common/Continuum.html"}	15811	3	false
Q12	ThresholdPart	search_api	{"query":"ThresholdPart"}	1964	14	false
Q12	ThresholdPart	search_api(resolve)	{"query":"ThresholdPart","kind":"type","limit":500}	176	4	false
Q12	ThresholdPart	get_doc	{"docPath":"star/vis/ThresholdPart.html"}	11120	6	false
Q13	PlaneProbePart	search_api	{"query":"PlaneProbePart"}	1558	12	false
Q13	PlaneProbePart	search_api(resolve)	{"query":"PlaneProbePart","kind":"type","limit":500}	266	3	false
Q13	PlaneProbePart	get_doc	{"docPath":"star/vis/PlaneProbePart.html"}	10959	3	false
Q14	Continuum	search_api	{"query":"Continuum"}	2606	14	false
Q14	Continuum	search_api(resolve)	{"query":"Continuum","kind":"type","limit":500}	4126	3	false
Q14	Continuum	get_doc	{"docPath":"star/common/Continuum.html"}	15811	2	false
Q14	AutoMeshOperation	search_api	{"query":"AutoMeshOperation"}	3087	14	false
Q14	AutoMeshOperation	search_api(resolve)	{"query":"AutoMeshOperation","kind":"type","limit":500}	2724	2	false
Q14	AutoMeshOperation	get_doc	{"docPath":"star/meshing/AutoMeshOperation.html"}	14612	4	false
Q15	UserFieldFunction	search_api	{"query":"UserFieldFunction"}	2209	11	false
Q15	UserFieldFunction	search_api(resolve)	{"query":"UserFieldFunction","kind":"type","limit":500}	466	2	false
Q15	UserFieldFunction	get_doc	{"docPath":"star/common/UserFieldFunction.html"}	10646	3	false
